,x,y,z,CONFD
47,0.0,0.47,0.53,0.7772998611746911
48,0.0,0.48,0.52,0.7772998611746911
49,0.0,0.49,0.51,0.7772998611746911
50,0.0,0.5,0.5,0.7772998611746911
51,0.0,0.51,0.49,0.7772998611746911
52,0.0,0.52,0.48,1.0
53,0.0,0.53,0.47,1.0
54,0.0,0.54,0.46,1.0
55,0.0,0.55,0.45,1.0
56,0.0,0.56,0.44,1.0
57,0.0,0.57,0.43,1.0
58,0.0,0.58,0.42,1.0
59,0.0,0.59,0.41,1.0
60,0.0,0.6,0.4,1.0
61,0.0,0.61,0.39,1.0
62,0.0,0.62,0.38,1.0
63,0.0,0.63,0.37,1.0
64,0.0,0.64,0.36,1.0
65,0.0,0.65,0.35,1.0
66,0.0,0.66,0.34,1.0
67,0.0,0.67,0.33,1.0
68,0.0,0.68,0.32,1.0
69,0.0,0.69,0.31,1.0
70,0.0,0.7,0.3,1.0
71,0.0,0.71,0.29,1.0
72,0.0,0.72,0.28,1.0
73,0.0,0.73,0.27,1.0
74,0.0,0.74,0.26,1.0
75,0.0,0.75,0.25,1.0
76,0.0,0.76,0.24,1.0
77,0.0,0.77,0.23,1.0
78,0.0,0.78,0.22,1.0
79,0.0,0.79,0.21,1.0
80,0.0,0.8,0.2,1.0
81,0.0,0.81,0.19,1.0
82,0.0,0.82,0.18,1.0
83,0.0,0.83,0.17,0.679178699175393
84,0.0,0.84,0.16,0.679178699175393
85,0.0,0.85,0.15,0.43782349911420193
86,0.0,0.86,0.14,0.43782349911420193
87,0.0,0.87,0.13,0.679178699175393
88,0.0,0.88,0.12,0.679178699175393
89,0.0,0.89,0.11,0.679178699175393
90,0.0,0.9,0.1,0.679178699175393
91,0.0,0.91,0.09,0.43782349911420193
92,0.0,0.92,0.08,0.679178699175393
93,0.0,0.93,0.07,0.679178699175393
94,0.0,0.94,0.06,0.679178699175393
95,0.0,0.95,0.05,0.679178699175393
96,0.0,0.96,0.04,0.679178699175393
97,0.0,0.97,0.03,0.679178699175393
98,0.0,0.98,0.02,0.679178699175393
99,0.0,0.99,0.01,0.679178699175393
100,0.01,0.0,0.99,0.7772998611746911
101,0.01,0.01,0.98,0.7772998611746911
102,0.01,0.02,0.97,0.7772998611746911
103,0.01,0.03,0.96,0.7772998611746911
104,0.01,0.04,0.95,0.7772998611746911
105,0.01,0.05,0.94,0.7772998611746911
106,0.01,0.06,0.93,0.7772998611746911
107,0.01,0.07,0.92,0.7772998611746911
108,0.01,0.08,0.91,0.7772998611746911
109,0.01,0.09,0.9,0.7772998611746911
110,0.01,0.1,0.89,0.7772998611746911
111,0.01,0.11,0.88,0.7772998611746911
112,0.01,0.12,0.87,0.7772998611746911
113,0.01,0.13,0.86,0.7772998611746911
114,0.01,0.14,0.85,0.7772998611746911
115,0.01,0.15,0.84,0.7772998611746911
116,0.01,0.16,0.83,0.7772998611746911
117,0.01,0.17,0.82,0.7772998611746911
118,0.01,0.18,0.81,0.7772998611746911
119,0.01,0.19,0.8,0.7772998611746911
120,0.01,0.2,0.79,0.7772998611746911
121,0.01,0.21,0.78,0.7772998611746911
122,0.01,0.22,0.77,0.7772998611746911
123,0.01,0.23,0.76,0.7772998611746911
124,0.01,0.24,0.75,0.7772998611746911
125,0.01,0.25,0.74,0.7772998611746911
126,0.01,0.26,0.73,0.7772998611746911
127,0.01,0.27,0.72,0.7772998611746911
128,0.01,0.28,0.71,0.7772998611746911
129,0.01,0.29,0.7,0.7772998611746911
130,0.01,0.3,0.69,0.7772998611746911
131,0.01,0.31,0.68,0.7772998611746911
132,0.01,0.32,0.67,0.7772998611746911
133,0.01,0.33,0.66,0.7772998611746911
134,0.01,0.34,0.65,0.7772998611746911
