,g,C,ERR
180,0.25,8000,0.21428571428571425
181,0.55,8000,0.21428571428571425
182,1.33,8000,0.21428571428571425
183,0.19,8400,0.21428571428571425
184,0.13,8600,0.21428571428571425
185,0.22,8600,0.21428571428571425
186,0.48,8800,0.21428571428571425
187,0.27,9400,0.21428571428571425
188,0.13,9600,0.21428571428571425
189,0.55,9600,0.21428571428571425
190,0.57,9600,0.21428571428571425
191,0.58,10200,0.21428571428571425
192,0.25,10400,0.21428571428571425
193,0.3,10600,0.21428571428571425
194,0.46,10600,0.21428571428571425
195,0.25,10800,0.21428571428571425
196,0.29,11200,0.21428571428571425
197,1.37,11400,0.21428571428571425
198,0.16,11600,0.21428571428571425
199,0.19,11600,0.21428571428571425
200,0.39,11800,0.21428571428571425
201,0.18,12000,0.21428571428571425
202,0.22,12200,0.21428571428571425
203,0.08,12400,0.21428571428571425
204,0.11,12400,0.21428571428571425
205,0.14,12400,0.21428571428571425
206,1.35,12400,0.21428571428571425
207,0.1,12600,0.21428571428571425
208,0.18,12800,0.21428571428571425
209,0.27,12800,0.21428571428571425
210,1.12,13000,0.21428571428571425
211,0.21,13400,0.21428571428571425
212,0.11,13600,0.21428571428571425
213,0.34,13600,0.21428571428571425
214,0.17,13800,0.21428571428571425
215,1.22,14000,0.21428571428571425
216,0.2,14400,0.21428571428571425
217,0.24,14400,0.21428571428571425
218,0.12,14600,0.21428571428571425
219,0.2,14600,0.21428571428571425
220,0.35,14600,0.21428571428571425
221,0.2,14800,0.21428571428571425
222,0.14,15000,0.21428571428571425
223,0.17,15000,0.21428571428571425
224,0.26,15000,0.21428571428571425
225,0.39,15000,0.21428571428571425
226,1.19,15000,0.21428571428571425
227,0.19,15200,0.21428571428571425
228,0.11,15400,0.21428571428571425
229,0.13,15400,0.21428571428571425
230,0.19,15800,0.21428571428571425
231,0.23,15800,0.21428571428571425
232,0.33,15800,0.21428571428571425
233,0.14,16000,0.21428571428571425
234,0.18,16000,0.21428571428571425
235,0.37,16000,0.21428571428571425
236,0.63,16000,0.21428571428571425
237,1.34,16000,0.21428571428571425
238,0.16,16400,0.21428571428571425
239,0.14,16600,0.21428571428571425
240,0.19,17000,0.21428571428571425
241,0.14,17400,0.21428571428571425
242,0.11,17600,0.21428571428571425
243,0.21,17600,0.21428571428571425
244,0.46,17600,0.21428571428571425
245,0.12,17800,0.21428571428571425
246,0.14,18200,0.21428571428571425
247,0.31,18200,0.21428571428571425
248,0.09,18600,0.21428571428571425
249,0.12,18600,0.21428571428571425
250,0.15,18600,0.21428571428571425
251,0.19,18600,0.21428571428571425
252,0.57,18800,0.21428571428571425
253,1.36,18800,0.21428571428571425
254,0.1,19000,0.21428571428571425
255,0.18,19000,0.21428571428571425
256,1.32,19000,0.21428571428571425
257,0.11,19200,0.21428571428571425
258,0.14,19200,0.21428571428571425
259,0.17,19200,0.21428571428571425
260,0.32,19200,0.21428571428571425
261,0.18,19400,0.21428571428571425
262,0.99,19400,0.21428571428571425
263,0.13,19600,0.21428571428571425
264,0.39,19600,0.21428571428571425
265,0.08,19800,0.21428571428571425
266,0.14,19800,0.21428571428571425
267,1.37,19800,0.21428571428571425
268,0.2,20200,0.21428571428571425
269,0.12,20400,0.21428571428571425
270,0.13,20400,0.21428571428571425
271,1.2,20400,0.21428571428571425
272,0.08,20600,0.21428571428571425
