,water,oil,surf
609,0.46,0.29,0.25
610,0.46,0.3,0.24
611,0.46,0.31,0.23
612,0.46,0.32,0.22
613,0.46,0.33,0.21
614,0.46,0.34,0.2
615,0.46,0.35,0.19
616,0.46,0.36,0.18
617,0.46,0.37,0.17
618,0.46,0.38,0.16
619,0.46,0.39,0.15
620,0.46,0.4,0.14
621,0.46,0.41,0.13
622,0.46,0.42,0.12
623,0.46,0.43,0.11
624,0.46,0.44,0.1
625,0.46,0.45,0.09
626,0.46,0.46,0.08
627,0.46,0.47,0.07
628,0.46,0.48,0.06
629,0.46,0.49,0.05
630,0.46,0.5,0.04
631,0.47,0.0,0.53
632,0.47,0.01,0.52
633,0.47,0.02,0.51
634,0.47,0.03,0.5
635,0.47,0.04,0.49
636,0.47,0.05,0.48
637,0.47,0.06,0.47
638,0.47,0.07,0.46
639,0.47,0.08,0.45
640,0.47,0.09,0.44
641,0.47,0.1,0.43
642,0.47,0.11,0.42
643,0.47,0.12,0.41
644,0.47,0.13,0.4
645,0.47,0.14,0.39
646,0.47,0.15,0.38
647,0.47,0.16,0.37
648,0.47,0.17,0.36
649,0.47,0.18,0.35
650,0.47,0.19,0.34
651,0.47,0.2,0.33
652,0.47,0.21,0.32
653,0.47,0.28,0.25
654,0.47,0.29,0.24
655,0.47,0.3,0.23
656,0.47,0.31,0.22
657,0.47,0.32,0.21
658,0.47,0.33,0.2
659,0.47,0.34,0.19
660,0.47,0.35,0.18
661,0.47,0.36,0.17
662,0.47,0.37,0.16
663,0.47,0.38,0.15
664,0.47,0.39,0.14
665,0.47,0.4,0.13
666,0.47,0.41,0.12
667,0.47,0.42,0.11
668,0.47,0.43,0.1
669,0.47,0.44,0.09
670,0.47,0.45,0.08
671,0.47,0.46,0.07
672,0.47,0.47,0.06
673,0.47,0.48,0.05
674,0.47,0.49,0.04
675,0.47,0.5,0.03
676,0.48,0.05,0.47
677,0.48,0.06,0.46
678,0.48,0.07,0.45
679,0.48,0.08,0.44
680,0.48,0.09,0.43
681,0.48,0.1,0.42
682,0.48,0.11,0.41
683,0.48,0.12,0.4
684,0.48,0.13,0.39
685,0.48,0.14,0.38
686,0.48,0.15,0.37
687,0.48,0.16,0.36
688,0.48,0.17,0.35
689,0.48,0.18,0.34
690,0.48,0.19,0.33
691,0.48,0.2,0.32
692,0.48,0.21,0.31
693,0.48,0.22,0.3
694,0.48,0.23,0.29
695,0.48,0.27,0.25
696,0.48,0.28,0.24
697,0.48,0.29,0.23
698,0.48,0.3,0.22
699,0.48,0.31,0.21
700,0.48,0.32,0.2
701,0.48,0.33,0.19
702,0.48,0.34,0.18
703,0.48,0.35,0.17
704,0.48,0.36,0.16
705,0.48,0.37,0.15
706,0.48,0.38,0.14
707,0.48,0.39,0.13
708,0.48,0.4,0.12
709,0.48,0.41,0.11
710,0.48,0.42,0.1
711,0.48,0.43,0.09
712,0.48,0.44,0.08
713,0.48,0.45,0.07
714,0.48,0.46,0.06
715,0.48,0.47,0.05
716,0.48,0.48,0.04
717,0.48,0.49,0.03
718,0.48,0.5,0.02
719,0.49,0.06,0.45
720,0.49,0.07,0.44
721,0.49,0.08,0.43
722,0.49,0.09,0.42
723,0.49,0.1,0.41
724,0.49,0.11,0.4
725,0.49,0.12,0.39
726,0.49,0.13,0.38
727,0.49,0.14,0.37
728,0.49,0.15,0.36
729,0.49,0.16,0.35
730,0.49,0.17,0.34
731,0.49,0.18,0.33
732,0.49,0.19,0.32
733,0.49,0.2,0.31
734,0.49,0.21,0.3
735,0.49,0.22,0.29
736,0.49,0.23,0.28
737,0.49,0.26,0.25
738,0.49,0.27,0.24
739,0.49,0.28,0.23
740,0.49,0.29,0.22
741,0.49,0.3,0.21
742,0.49,0.31,0.2
743,0.49,0.32,0.19
744,0.49,0.33,0.18
745,0.49,0.34,0.17
746,0.49,0.35,0.16
747,0.49,0.36,0.15
748,0.49,0.37,0.14
749,0.49,0.38,0.13
750,0.49,0.39,0.12
751,0.49,0.4,0.11
752,0.49,0.41,0.1
