,g,C,ERR
238,1.49,3000,0.18571428571428567
239,0.09,3200,0.18571428571428567
240,0.11,3200,0.18571428571428567
241,0.57,3200,0.18571428571428567
242,0.88,3200,0.18571428571428567
243,1.02,3200,0.18571428571428567
244,0.08,3400,0.18571428571428567
245,0.09,3400,0.18571428571428567
246,0.53,3400,0.18571428571428567
247,0.12,3600,0.18571428571428567
248,0.13,3600,0.18571428571428567
249,0.26,3600,0.18571428571428567
250,0.8,3600,0.18571428571428567
251,0.09,3800,0.18571428571428567
252,0.24,3800,0.18571428571428567
253,0.85,3800,0.18571428571428567
254,0.08,4000,0.18571428571428567
255,0.1,4000,0.18571428571428567
256,0.12,4000,0.18571428571428567
257,0.21,4000,0.18571428571428567
258,0.46,4000,0.18571428571428567
259,1.45,4000,0.18571428571428567
260,0.09,4200,0.18571428571428567
261,0.14,4200,0.18571428571428567
262,0.08,4600,0.18571428571428567
263,0.11,4600,0.18571428571428567
264,1.1,4600,0.18571428571428567
265,1.12,4600,0.18571428571428567
266,1.45,4600,0.18571428571428567
267,0.07,4800,0.18571428571428567
268,0.08,4800,0.18571428571428567
269,0.12,4800,0.18571428571428567
270,0.21,4800,0.18571428571428567
271,0.76,4800,0.18571428571428567
272,0.83,4800,0.18571428571428567
273,0.93,4800,0.18571428571428567
274,0.05,5000,0.18571428571428567
275,1.03,5000,0.18571428571428567
276,1.45,5000,0.18571428571428567
277,0.11,5200,0.18571428571428567
278,0.59,5200,0.18571428571428567
279,0.69,5400,0.18571428571428567
280,0.07,5600,0.18571428571428567
281,0.11,5600,0.18571428571428567
282,0.16,5600,0.18571428571428567
283,0.87,5600,0.18571428571428567
284,1.07,5600,0.18571428571428567
285,0.06,5800,0.18571428571428567
286,0.08,5800,0.18571428571428567
287,0.1,5800,0.18571428571428567
288,0.75,5800,0.18571428571428567
289,1.21,5800,0.18571428571428567
290,1.28,5800,0.18571428571428567
291,1.31,5800,0.18571428571428567
292,1.44,5800,0.18571428571428567
293,0.06,6000,0.18571428571428567
294,0.08,6000,0.18571428571428567
295,0.68,6000,0.18571428571428567
296,0.93,6000,0.18571428571428567
297,1.1,6000,0.18571428571428567
298,1.15,6000,0.18571428571428567
299,0.06,6200,0.18571428571428567
300,0.39,6200,0.18571428571428567
301,0.65,6200,0.18571428571428567
302,0.68,6200,0.18571428571428567
303,0.91,6200,0.18571428571428567
304,1.08,6200,0.18571428571428567
305,0.08,6400,0.18571428571428567
306,0.1,6400,0.18571428571428567
307,0.11,6400,0.18571428571428567
308,0.58,6400,0.18571428571428567
309,0.64,6400,0.18571428571428567
310,0.63,6600,0.18571428571428567
311,0.87,6600,0.18571428571428567
312,1.08,6600,0.18571428571428567
313,0.08,6800,0.18571428571428567
314,0.73,6800,0.18571428571428567
315,0.89,6800,0.18571428571428567
316,0.21,7000,0.18571428571428567
317,0.62,7000,0.18571428571428567
318,0.91,7000,0.18571428571428567
319,1.14,7000,0.18571428571428567
320,0.05,7200,0.18571428571428567
321,0.08,7200,0.18571428571428567
322,0.96,7200,0.18571428571428567
323,0.06,7400,0.18571428571428567
324,0.08,7400,0.18571428571428567
325,0.45,7400,0.18571428571428567
326,0.08,7600,0.18571428571428567
327,0.11,7600,0.18571428571428567
328,0.86,7600,0.18571428571428567
329,0.58,7800,0.18571428571428567
330,0.09,8000,0.18571428571428567
331,0.19,8000,0.18571428571428567
332,0.58,8000,0.18571428571428567
333,0.06,8200,0.18571428571428567
334,0.08,8200,0.18571428571428567
335,0.09,8200,0.18571428571428567
336,0.45,8200,0.18571428571428567
337,0.59,8200,0.18571428571428567
338,0.78,8200,0.18571428571428567
339,0.04,8400,0.18571428571428567
340,0.05,8400,0.18571428571428567
341,0.09,8400,0.18571428571428567
342,0.6,8400,0.18571428571428567
343,0.78,8400,0.18571428571428567
344,1.0,8400,0.18571428571428567
345,0.05,8600,0.18571428571428567
346,0.08,8600,0.18571428571428567
347,0.56,8600,0.18571428571428567
348,1.1,8600,0.18571428571428567
349,0.04,8800,0.18571428571428567
350,0.06,8800,0.18571428571428567
351,0.47,8800,0.18571428571428567
352,0.61,8800,0.18571428571428567
353,0.99,8800,0.18571428571428567
354,0.05,9000,0.18571428571428567
355,0.08,9000,0.18571428571428567
356,0.16,9000,0.18571428571428567
357,0.07,9200,0.18571428571428567
358,0.6,9200,0.18571428571428567
359,0.94,9200,0.18571428571428567
360,1.09,9200,0.18571428571428567
361,0.05,9400,0.18571428571428567
362,0.08,9400,0.18571428571428567
363,0.2,9400,0.18571428571428567
364,1.14,9400,0.18571428571428567
365,0.08,9600,0.18571428571428567
366,0.6,9600,0.18571428571428567
367,0.9,9600,0.18571428571428567
368,1.0,9600,0.18571428571428567
369,0.04,9800,0.18571428571428567
370,0.07,9800,0.18571428571428567
371,0.05,10000,0.18571428571428567
372,0.06,10000,0.18571428571428567
373,0.07,10000,0.18571428571428567
374,0.12,10000,0.18571428571428567
375,0.3,10000,0.18571428571428567
376,0.51,10000,0.18571428571428567
377,0.59,10000,0.18571428571428567
378,1.05,10000,0.18571428571428567
379,1.11,10000,0.18571428571428567
380,1.22,10000,0.18571428571428567
