,g,C,ERR
102,0.79,7000,0.2571428571428571
103,0.74,7200,0.2571428571428571
104,0.68,7400,0.2571428571428571
105,1.28,7400,0.2571428571428571
106,0.71,7600,0.2571428571428571
107,1.06,7800,0.2571428571428571
108,0.53,8000,0.2571428571428571
109,0.84,8000,0.2571428571428571
110,1.08,8000,0.2571428571428571
111,0.67,8200,0.2571428571428571
112,1.39,8200,0.2571428571428571
113,0.7,8400,0.2571428571428571
114,1.4,8400,0.2571428571428571
115,0.72,8600,0.2571428571428571
116,0.8,9000,0.2571428571428571
117,0.92,9200,0.2571428571428571
118,0.93,9200,0.2571428571428571
119,1.14,9600,0.2571428571428571
120,0.71,10200,0.2571428571428571
121,0.85,10600,0.2571428571428571
122,0.52,10800,0.2571428571428571
123,0.53,12000,0.2571428571428571
124,1.07,12200,0.2571428571428571
125,0.62,12400,0.2571428571428571
126,1.18,13000,0.2571428571428571
127,0.79,13200,0.2571428571428571
128,0.72,13600,0.2571428571428571
129,0.52,14000,0.2571428571428571
130,0.67,14000,0.2571428571428571
131,0.73,14400,0.2571428571428571
132,0.61,14600,0.2571428571428571
133,0.5,15000,0.2571428571428571
134,0.7,15000,0.2571428571428571
135,1.01,15000,0.2571428571428571
136,1.42,15000,0.2571428571428571
137,0.97,15800,0.2571428571428571
138,0.96,16400,0.2571428571428571
139,1.19,16400,0.2571428571428571
140,0.57,16800,0.2571428571428571
141,0.46,17000,0.2571428571428571
142,0.87,17200,0.2571428571428571
143,0.33,17400,0.2571428571428571
144,0.61,17400,0.2571428571428571
145,1.03,17400,0.2571428571428571
146,0.47,17600,0.2571428571428571
147,0.47,17800,0.2571428571428571
148,0.79,17800,0.2571428571428571
149,0.64,18400,0.2571428571428571
150,0.94,18400,0.2571428571428571
151,0.96,18800,0.2571428571428571
152,0.41,19000,0.2571428571428571
153,0.55,19200,0.2571428571428571
154,1.04,19400,0.2571428571428571
155,1.37,19800,0.2571428571428571
156,0.46,20000,0.2571428571428571
157,0.53,20000,0.2571428571428571
158,0.63,20000,0.2571428571428571
159,1.04,20200,0.2571428571428571
160,0.45,20600,0.2571428571428571
161,0.3,20800,0.2571428571428571
162,0.5,20800,0.2571428571428571
163,0.72,20800,0.2571428571428571
164,0.8,20800,0.2571428571428571
